date,code,name
2022-05-12,4678,秀英予備校
2022-05-12,4687,ＴＤＣソフト
2022-05-12,4743,アイティフォー
2022-05-12,4752,昭和システムエンジニアリング
2022-05-12,4761,さくらケーシーエス
2022-05-12,4816,東映アニメーション
2022-05-12,4819,デジタルガレージ
2022-05-12,4828,ビジネスエンジニアリング
2022-05-12,4849,エン
2022-05-12,4886,あすか製薬ホールディングス
2022-05-12,4889,レナサイエンス
2022-05-12,4902,コニカミノルタ
2022-05-12,4918,アイビー化粧品
2022-05-12,4926,シーボン
2022-05-12,4974,タカラバイオ
2022-05-12,4997,日本農薬
2022-05-12,5021,コスモエネルギーホールディングス
2022-05-12,5029,サークレイス
2022-05-12,5162,朝日ラバー
2022-05-12,5195,バンドー化学
2022-05-12,5202,日本板硝子
2022-05-12,5232,住友大阪セメント
2022-05-12,5233,太平洋セメント
2022-05-12,5290,ベルテクスコーポレーション
2022-05-12,5304,ＳＥＣカーボン
2022-05-12,5351,品川リフラ
2022-05-12,5355,日本坩堝
2022-05-12,5368,日本インシュレーション
2022-05-12,5463,丸一鋼管
2022-05-12,5491,日本金属
2022-05-12,5715,古河機械金属
2022-05-12,5721,エス・サイエンス
2022-05-12,5741,ＵＡＣＪ
2022-05-12,5801,古河電気工業
2022-05-12,5803,フジクラ
2022-05-12,5805,ＳＷＣＣ
2022-05-12,5902,ホッカンホールディングス
2022-05-12,5928,アルメタックス
2022-05-12,5930,文化シヤッター
2022-05-12,5936,東洋シヤッター
2022-05-12,5940,不二サッシ
2022-05-12,5949,ユニプレス
2022-05-12,5956,トーソー
2022-05-12,5962,浅香工業
2022-05-12,5969,ロブテックス
2022-05-12,5976,高周波熱錬
2022-05-12,5981,東京製綱
2022-05-12,5984,兼房
2022-05-12,5988,パイオラックス
2022-05-12,6016,ジャパンエンジンコーポレーション
2022-05-12,6039,日本動物高度医療センター
2022-05-12,6059,ウチヤマホールディングス
2022-05-12,6101,ツガミ
2022-05-12,6103,オークマ
2022-05-12,6113,アマダ
2022-05-12,6125,岡本工作機械製作所
2022-05-12,6238,フリュー
2022-05-12,6262,ＰＥＧＡＳＵＳ
2022-05-12,6272,レオン自動機
2022-05-12,6282,オイレス工業
2022-05-12,6294,オカダアイヨン
2022-05-12,6315,ＴＯＷＡ
2022-05-12,6330,東洋エンジニアリング
2022-05-12,6332,月島ホールディングス
2022-05-12,6342,太平製作所
2022-05-12,6346,キクカワエンタープライズ
2022-05-12,6347,プラコー
2022-05-12,6351,鶴見製作所
2022-05-12,6358,酒井重工業
2022-05-12,6363,酉島製作所
2022-05-12,6368,オルガノ
2022-05-12,6380,オリエンタルチエン工業
2022-05-12,6393,油研工業
2022-05-12,6403,水道機工
2022-05-12,6417,ＳＡＮＫＹＯ
2022-05-12,6457,グローリー
2022-05-12,6458,新晃工業
2022-05-12,6480,日本トムソン
2022-05-12,6484,ＫＶＫ
2022-05-12,6486,イーグル工業
2022-05-12,6490,ＰＩＬＬＡＲ
2022-05-12,6493,ＮＩＴＴＡＮ
2022-05-12,6517,デンヨー
2022-05-12,6523,ＰＨＣホールディングス
2022-05-12,6539,ＭＳ－Ｊａｐａｎ
2022-05-12,6544,ジャパンエレベーターサービスホールディングス
2022-05-12,6562,ジーニー
2022-05-12,6574,コンヴァノ
2022-05-12,6590,芝浦メカトロニクス
2022-05-12,6599,エブレン
2022-05-12,6613,ＱＤレーザ
2022-05-12,6622,ダイヘン
2022-05-12,6638,ミマキエンジニアリング
2022-05-12,6644,大崎電気工業
2022-05-12,6648,かわでん
2022-05-12,6674,ジーエス・ユアサ　コーポレーション
2022-05-12,6706,電気興業
2022-05-12,6707,サンケン電気
2022-05-12,6727,ワコム
2022-05-12,6771,池上通信機
2022-05-12,6775,ＴＢグループ
2022-05-12,6788,日本トリム
2022-05-12,6797,名古屋電機工業
2022-05-12,6820,アイコム
2022-05-12,6822,大井電気
2022-05-12,6824,新コスモス電機
2022-05-12,6844,新電元工業
2022-05-12,6855,日本電子材料
2022-05-12,6869,シスメックス
2022-05-12,6952,カシオ計算機
2022-05-12,7011,三菱重工業
2022-05-12,7058,共栄セキュリティーサービス
2022-05-12,7087,ウイルテック
2022-05-12,7088,フォーラムエンジニアリング
2022-05-12,7096,ステムセル研究所
2022-05-12,7105,三菱ロジスネクスト
2022-05-12,7122,近畿車輛
2022-05-12,7133,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ
2022-05-12,7138,ＴＯＲＩＣＯ
2022-05-12,7157,ライフネット生命保険
2022-05-12,7173,東京きらぼしフィナンシャルグループ
2022-05-12,7180,九州フィナンシャルグループ
2022-05-12,7185,ヒロセ通商
2022-05-12,7186,横浜フィナンシャルグループ
2022-05-12,7189,西日本フィナンシャルホールディングス
2022-05-12,7201,日産自動車
2022-05-12,7208,カネミツ
2022-05-12,7212,エフテック
2022-05-12,7215,ファルテック
2022-05-12,7218,田中精密工業
2022-05-12,7222,日産車体
2022-05-12,7226,極東開発工業
2022-05-12,7229,ユタカ技研
